naive,0.05685771336307783,1.2011823845432294e-05
naive,0.06084304592075764,1.573555133929435e-05
robust,0.013905181257625045,4.1622350084054795e-07
robust,0.013124627245678068,4.267357709938918e-07
naive,0.05685771336307783,1.2011823845432294e-05
naive,0.06084304592075764,1.573555133929435e-05
robust,0.013905181257625045,4.1622350084054795e-07
robust,0.013124627245678068,4.267357709938918e-07
naive,0.05685771336307783,1.2011823845432294e-05
naive,0.06084304592075764,1.573555133929435e-05
robust,0.013905181257625045,4.1622350084054795e-07
robust,0.013124627245678068,4.267357709938918e-07
naive,0.05685771336307783,1.2011823845432294e-05
naive,0.06084304592075764,1.573555133929435e-05
robust,0.013905181257625045,4.1622350084054795e-07
robust,0.013124627245678068,4.267357709938918e-07
naive,0.05685771336307783,1.2011823845432294e-05
naive,0.06084304592075764,1.573555133929435e-05
robust,0.013905181257625045,4.1622350084054795e-07
robust,0.013124627245678068,4.267357709938918e-07
naive,0.05685771336307783,1.2011823845432294e-05
naive,0.06084304592075764,1.573555133929435e-05
robust,0.013905181257625045,4.1622350084054795e-07
robust,0.013124627245678068,4.267357709938918e-07
naive,0.05685771336307783,1.2011823845432294e-05
naive,0.06084304592075764,1.573555133929435e-05
robust,0.013905181257625045,4.1622350084054795e-07
robust,0.013124627245678068,4.267357709938918e-07
naive,0.05685771336307783,1.2011823845432294e-05
naive,0.06084304592075764,1.573555133929435e-05
robust,0.013905181257625045,4.1622350084054795e-07
robust,0.013124627245678068,4.267357709938918e-07
